citation_key,year,first_author,title,mechanisms,study_environment,location_during_passage,outcome_timing,delayed_window_h,confidence,notes
2023_Kerrb,2023,Kerr,The effects of simulated hydropower turbine rapid decompression on two Neotropical fish species,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Latent / long-term,,Mined,
2023_Knott,2023,Knott,Ecological assessment of the world's first shaft hydropower plant,collision,Field - Kaplan turbine,Bypass / sluice / gate,Immediate; Delayed; Sublethal,96,Mined,
2023_Pedron,2023,Pedron,Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant,barotrauma; collision,Field - Francis turbine,Whole-route (not localised),Immediate; Delayed; Sublethal,24,Mined,
2023_Yang,2023,Yang,Fish damage due to tubular turbine Experiments and CFD simulations,shear,Numerical / CFD model,Wicket / guide gates; Turbine runner; Spillway,Latent / long-term; Indirect,,Mined,
2024_Canada,2024,Canada,Risk to fish from very low head turbine installations,barotrauma; collision; shear,Guideline / standard,Various / not applicable,Immediate; Delayed; Sublethal,48,Mined,
2024_Kaminski,2024,Kaminski,Computational fluid dynamics simulation of passive downstream fish passage over a weir with OpenFOAM,shear,Numerical / CFD model,Tailrace; Plunge pool / stilling basin,Sublethal; Indirect,,Mined,
2025_Huang,2025,Huang,Velocity- and pressure-based metrics for estimating strike injuries during fish passage through hydro turbines,barotrauma; collision,Numerical / CFD model,Turbine runner; Spillway; Bypass / sluice / gate,Delayed; Sublethal,,Mined,
2025_Kan,2025,Kan,Fish-friendly optimization of low-head axial-flow turbines,shear,Numerical / CFD model,Turbine runner,Not reported,,Mined,
2025_Martinez,2025,Martinez,A scientific framework for sustainable hydropower with improved fish passage,barotrauma,Review / synthesis,Various / not applicable,Delayed; Sublethal,,Mined,
2025_Schneider,2025,Schneider,A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,,Mined,
2025_Zillig,2025,Zillig,Comparison of juvenile white sturgeon blade strike survival through a conventional and a novel hydropower turbine,collision,Field - Francis turbine,Whole-route (not localised),Immediate; Delayed; Sublethal,48,Mined,
2025_Zitek,2025,Zitek,Untersuchung von druckänderungsbedingten,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,24,Mined,
2026_Pan,2026,Pan,A novel fish-friendly-twisted blade towards low-head pumped hydro storage assessment of flow distortion-induced,collision,Numerical / CFD model,Turbine runner,Not reported,,Mined,
2026_Zitek,2026,Zitek,Sensitivity of larval and juvenile fish with different swim bladder morphology to barotrauma with a special focus on,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,96,Mined,
