citation_key,year,first_author,title,study_type,doi,local_filename
2018_Beirao,2018,Beirao,"Determining barotrauma in the Pictus catfus, Pimelodus pictus experimentally exposed to simulated hydropower turbine",Lab,10.1071/MF18142,"2018_Beirao_Lab_Determining barotrauma in the Pictus catfus, Pimelodus pictus experimentally exposed to simulated hydropower turbine.pdf"
2018_Colotelo,2018,Colotelo,Injury and mortality of two Mekong River species exposed to turbulent shear forces,Lab,10.1071/MF18126,2018_Colotelo_Lab_Injury and mortality of two Mekong River species exposed to turbulent shear forces.pdf
2018_Geist,2018,Geist,Juvenile Chinook Salmon Survival When Exposed to Simulated Dam Passage after Being Implanted with a New Microacoustic,Lab,10.1002/nafm.10198,2018_Geist_Lab_Juvenile Chinook Salmon Survival When Exposed to Simulated Dam Passage after Being Implanted with a New Microacoustic.pdf
2018_Pflugrath,2018,Pflugrath,Predicting hydraulic structure-induced barotrauma in Australian fish species,Lab,10.1071/MF18137,2018_Pflugrath_Lab_Predicting hydraulic structure-induced barotrauma in Australian fish species.pdf
2019_Bevelheimer,2019,Bevelheimer,Mortality and Injury Assessment for Three Species of Fish Exposed to Simulated Turbine Blade Strike,Lab,,2019_Bevelheimer_Lab_Mortality and Injury Assessment for Three Species of Fish Exposed to Simulated Turbine Blade Strike.pdf
2019_Harding,2019,Harding,Experimental Observation of Inertial Particles through Idealized Hydroturbine Distributor Geometry,Lab,10.3390/w11030471,2019_Harding_Lab_Experimental Observation of Inertial Particles through Idealized Hydroturbine Distributor Geometry.pdf
2019_Meng,2019,Meng,Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage,Lab,10.1088/1755-1315/240/4/042008,2019_Meng_Lab_Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage.pdf
2019_Pflugrath,2019,Pflugrath,American eel state of buoyancy and barotrauma susceptibility,Lab,10.1051/kmae/2019012,2019_Pflugrath_Lab_American eel state of buoyancy and barotrauma susceptibility.pdf
2019_Saylor,2019,Saylor,Quantifying mortality and injury susceptibility for two morphologically disparate fishes exposed to simulated turbine,Lab,10.1007/s10750-019-04026-x,2019_Saylor_Lab_Quantifying mortality and injury susceptibility for two morphologically disparate fishes exposed to simulated turbine.pdf
2020_Amaral,2020,Amaral,Improving survival injury and mortality of fish struck by blades with slanted blunt leading edges,Lab,10.1080/24705357.2020.1768166,2020_Amaral_Lab_Improving survival injury and mortality of fish struck by blades with slanted blunt leading edges.pdf
